month,api_client_title,shipping_city,shipping_region,shipping_country,customer_type,product_title,product_type,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,total_tips,average_order_value
2021-03,Online Store,Miami,Florida,United States,Returning,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Sammamish,Washington,United States,First-time,Traditional Japanese Teriyaki,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Milton,Delaware,United States,Returning,6-Bag Variety Pack,,1,53.94,0,0,53.94,0,0,53.94,0,53.94
2021-03,Online Store,Saint James City,Florida,United States,First-time,Spicy Original,,1,44.95,0,0,44.95,0,0,44.95,0,44.95
2021-03,Online Store,Menomonee Falls,Wisconsin,United States,First-time,Sweet Heat,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Burbank,California,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Austin,Texas,United States,First-time,Gourmet Keto Mild Original,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Marion,Iowa,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Ellwood City,Pennsylvania,United States,First-time,,,0,0,0,0,0,9.55,0.57,10.12,0,0
2021-03,Online Store,Watertown,New York,United States,First-time,,,0,0,0,0,0,5.89,0,5.89,0,0
2021-03,Online Store,Weymouth,Massachusetts,United States,Returning,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Roswell,New Mexico,United States,First-time,All Flavors Variety Pack,,1,93.9,-9.39,0,84.51,0,0,84.51,0,84.51
2021-03,Online Store,Southfield,Michigan,United States,First-time,,,0,0,0,0,0,4.38,0,4.38,0,0
2021-03,Online Store,Dacula,Georgia,United States,First-time,Slap Yo' Grandma Spicy,,1,44.95,0,0,44.95,0,0,44.95,0,44.95
2021-03,Online Store,Huntington,Indiana,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Manzanola,Colorado,United States,First-time,All Flavors Variety Pack,,1,93.9,0,0,93.9,0,0,93.9,0,93.9
2021-03,Online Store,Denver,Colorado,United States,First-time,Black Truffle,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Mount Pleasant,Pennsylvania,United States,First-time,Original,,1,8.99,0,0,8.99,0,0.54,9.53,0,9.53
2021-03,Online Store,Monroe,Georgia,United States,First-time,,,0,0,0,0,0,7.4,0,7.4,0,0
2021-03,Online Store,Hazelwood,Missouri,United States,First-time,,,0,0,0,0,0,10.44,0,10.44,0,0
2021-03,Online Store,Corsicana,Texas,United States,First-time,5-Bag Variety Pack,,1,44.95,0,0,44.95,0,0,44.95,0,44.95
2021-03,Online Store,Arcadia,California,United States,First-time,Spicy Original,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Coral Springs,Florida,United States,First-time,,,0,0,0,0,0,4.2,0,4.2,0,0
2021-03,Online Store,Alameda,California,United States,First-time,,,0,0,0,0,0,11.27,0,11.27,0,0
2021-03,Online Store,Clark,New Jersey,United States,First-time,Black Truffle,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
